Ticker,Short Name,Avg D Val Traded 5D:D-5,P/E,P/B,P/FCF,ROE LF,GICS Sector,Market Cap,Earnings Yield,ROIC LF,Debt/Equity LF,Dil EPS Frm Cont Op 1Y Gr LF,Current 6 Month Total Return (BLOOMBERG L.P.),Tot Ret 1Y Net
301458 CH Equity,JUNEWAY ELECTR-A,18.77M,69.6,5.62,180.86,9.90%,Information Technology,9.30B,1.44%,8.77%,5.39%,-5.00%,-4.31,5.29
600728 CH Equity,PCI-TECHNOLOGY-A,18.76M,45.07,1.54,--,2.25%,Information Technology,12.11B,2.22%,1.96%,60.75%,-82.65%,-19.77,1.09
002268 CH Equity,CETC CYBERSPAC-A,18.72M,88.98,2.61,95.07,2.97%,Information Technology,14.06B,1.12%,2.57%,1.18%,-215.29%,-5.03,1.9
601200 CH Equity,SHANGHAI ENVIR-A,18.69M,17.97,0.93,12.86,5.27%,Industrials,10.84B,5.57%,3.76%,76.58%,14.95%,-2.19,0.54
600649 CH Equity,SHANGHAI SMI H-A,18.68M,36.52,0.5,--,1.38%,Real Estate,10.62B,2.74%,0.63%,193.30%,-89.90%,-12.58,-0.17
002320 CH Equity,HAINAN STRAIT-A,18.66M,108.35,4.67,11.57,4.18%,Industrials,18.80B,0.92%,12.85%,31.35%,-82.60%,-21.62,2.32
000061 CH Equity,SHENZ AGRICULT-A,18.47M,37.18,1.7,--,4.57%,Consumer Staples,14.31B,2.69%,3.18%,63.34%,24.18%,-12.61,0.1
605296 CH Equity,YUNNAN SHENNON-A,18.44M,22.07,2.85,72.99,13.46%,Consumer Staples,14.89B,4.53%,12.21%,14.42%,-89.17%,-6.93,-2.76
000685 CH Equity,ZHONGSHAN PUBL-A,18.36M,11.46,0.89,--,7.90%,Utilities,15.98B,8.72%,1.27%,52.59%,53.61%,-22.64,2.65
600718 CH Equity,NEUSOFT CORP-A,18.29M,--,1.13,18.87,-0.40%,Information Technology,10.73B,-0.35%,1.69%,15.47%,-78.10%,-18.45,-0.94
000672 CH Equity,GANSU SHANGFEN-A,18.27M,17.12,1.46,12.6,8.54%,Materials,12.98B,5.84%,5.17%,50.51%,37.79%,14.44,6.44
600161 CH Equity,BEIJING TIAN-A,18.26M,27.02,2.5,--,9.54%,Health Care,29.28B,3.70%,9.67%,1.05%,-48.77%,-23.5,-7.53
000650 CH Equity,RENHE PHARMACY-A,18.26M,18.23,1.29,5.87,7.15%,Health Care,8.20B,5.48%,6.35%,5.28%,16.50%,-5.18,0.69
1876 HK Equity,BUDWEISER BREWIN,18.25M,26.42,1.26,20.03,4.78%,Consumer Staples,101.58B,3.78%,4.49%,2.68%,-59.74%,-8.47,-0.43
300036 CH Equity,BEIJING SUPRMP-A,18.25M,--,2.75,--,-5.58%,Information Technology,7.55B,-2.04%,-7.05%,1.24%,79.62%,-10.56,1.1
001227 CH Equity,BANK OF LANZHO-A,18.21M,7.95,0.42,--,5.54%,Financials,12.70B,12.58%,3.87%,248.41%,27.81%,-4.69,0.07
603583 CH Equity,ZHEJIANG JIECA-A,18.21M,34.27,2.72,72.19,8.18%,Information Technology,12.66B,2.92%,6.10%,26.49%,11.74%,-22.14,-1.34
603027 CH Equity,QIANHE CONDIME-A,18.13M,29.91,3.72,128.91,12.22%,Consumer Staples,12.66B,3.34%,10.45%,14.66%,-14.35%,7.29,1.7
600859 CH Equity,WANGFUJING GRO-A,18.10M,--,0.69,8.75,-0.18%,Consumer Discretionary,13.59B,-0.22%,0.35%,52.09%,-68.34%,-13.64,-3.89
002174 CH Equity,YOUZU INTERACT-A,18.06M,--,1.92,--,-6.61%,Communication Services,9.50B,-3.53%,-5.51%,10.48%,90.01%,-15.06,1.37
688029 CH Equity,MICRO-TECH NAN-A,18.04M,23.47,3.53,35.94,15.67%,Health Care,14.38B,4.26%,12.95%,6.01%,-0.01%,-21.7,22.32
FRKN SP Equity,FRENCKEN GROUP L,17.98M,25.98,2.14,11.69,8.60%,Industrials,1.02B,3.85%,7.33%,18.80%,-6.34%,56.58,1.48
000676 CH Equity,GENIMOUS TECH-A,17.97M,54.24,2.23,--,4.30%,Information Technology,9.68B,1.84%,4.25%,7.78%,-65.69%,-20.82,0.44
301556 CH Equity,ZHEJIANG TOP C-A,17.87M,49.16,7.46,79.39,16.24%,Information Technology,7.07B,2.03%,14.06%,2.22%,-15.97%,-12.31,-14.99
601595 CH Equity,SHANGHAI FILM -A,17.87M,89.52,6.41,92.53,7.11%,Communication Services,11.10B,1.12%,6.33%,19.42%,1.44k%,-13.49,-4.26
300031 CH Equity,WUXI BOTON TEC-A,17.83M,48.9,2.18,--,4.58%,Communication Services,8.84B,2.05%,2.62%,24.05%,16.57%,-12.87,-1.27
603025 CH Equity,BEIJING DAHAO -A,17.76M,21.74,5.69,47.84,27.80%,Information Technology,15.50B,4.60%,20.69%,27.10%,57.20%,-16.94,2.01
600918 CH Equity,ZHONGTAI SECUR-A,17.75M,29.72,1.07,--,3.12%,Financials,47.43B,3.37%,1.20%,173.55%,-74.61%,-16.11,-0.07
300917 CH Equity,SHENZHEN SDG S-A,17.73M,40.62,4.56,37.38,11.68%,Real Estate,5.31B,2.46%,9.32%,3.48%,22.12%,-28.64,-16.38
301238 CH Equity,JIANGSU RUITAI-A,17.71M,254.99,1.97,--,0.73%,Industrials,14.28B,0.39%,1.05%,16.56%,1.35%,-7.28,4.37
600057 CH Equity,XIAMEN XIANGYU-A,17.68M,16.62,1.42,2.05,9.55%,Industrials,23.52B,6.02%,2.97%,163.00%,-74.25%,11.45,2.72
603229 CH Equity,ZHEJIANG AUSUN-A,17.67M,45.8,3.53,57.72,7.96%,Health Care,8.34B,2.18%,4.99%,21.38%,-18.79%,-1.18,2.58
300702 CH Equity,ZHEJIANG TIANY-A,17.65M,42.26,2.18,--,5.29%,Health Care,8.10B,2.37%,3.74%,56.44%,145.48%,-9.81,5.69
600325 CH Equity,ZHUHAI HUAFA-A,17.60M,--,0.5,0.59,-1.39%,Real Estate,9.52B,-2.89%,0.37%,106.69%,-45.47%,-35.57,-1.75
301087 CH Equity,COFOE MEDICAL -A,17.54M,32.3,2.48,21.94,7.69%,Health Care,12.08B,3.10%,6.12%,18.49%,78.38%,45.21,26.92
002390 CH Equity,GUIZHOU XINBAN-A,17.54M,83.12,0.91,10.56,1.14%,Health Care,6.32B,1.20%,2.59%,9.48%,-17.62%,-14.02,-0.12
000813 CH Equity,DEZHAN HEALTH-A,17.53M,--,1.46,--,-1.76%,Health Care,7.26B,-1.10%,-2.77%,2.85%,-800.42%,-18.78,0.23
002332 CH Equity,ZHEJIANG XIAN-A,17.52M,32.52,1.49,2.25k,4.56%,Health Care,8.90B,3.07%,6.54%,6.10%,-46.44%,-7.69,0.18
1997 HK Equity,WHARF REAL ESTAT,17.50M,--,0.39,--,-2.30%,Real Estate,70.62B,-6.02%,-2.05%,18.28%,-9.05%,5.69,7.69
000837 CH Equity,QINCHUAN MACHI-A,17.48M,201.83,2.19,151.21,1.09%,Industrials,10.85B,0.50%,0.80%,23.70%,-730.26%,-22.83,-0.74
002511 CH Equity,C&S PAPER CO-A,17.40M,43.65,2,17.66,4.66%,Consumer Staples,10.95B,2.29%,3.81%,33.46%,-26.75%,1.79,1.92
301297 CH Equity,FERROTEC ANHUI-A,17.39M,63.75,4.86,625.67,7.13%,Industrials,25.61B,1.57%,7.79%,10.60%,740.70%,-18.47,-2.13
300470 CH Equity,SINOSEAL HOLDI-A,17.37M,19.51,2.83,--,15.00%,Industrials,7.88B,5.12%,13.93%,2.27%,0.85%,2.19,5.74
603392 CH Equity,BEIJING WANTAI-A,17.23M,--,4.06,--,-2.72%,Health Care,49.01B,-0.68%,-3.30%,3.19%,-40.31%,-32.66,-27.92
002965 CH Equity,LUCKY HARVEST -A,17.18M,31.38,1.83,24.65,5.95%,Industrials,7.81B,3.19%,4.80%,34.03%,-53.20%,-33.56,-2.85
300276 CH Equity,SANFENG INTELL-A,17.17M,199.74,4.9,29.19,2.48%,Industrials,9.72B,0.50%,2.14%,5.42%,-25.66%,-30.32,-4.85
002010 CH Equity,TRANSFAR-A,17.13M,28.88,0.88,27.8,3.11%,Materials,15.92B,3.46%,1.54%,74.25%,-17.42%,-9.98,0.85
002839 CH Equity,JIANGSU ZHANGJ-A,17.08M,5.82,0.59,--,10.39%,Financials,10.95B,17.19%,6.38%,107.45%,-1.93%,5.11,0.74
300705 CH Equity,HUNAN JIUDIAN -A,17.07M,15.06,2.63,57.77,18.54%,Health Care,7.11B,6.64%,16.26%,18.17%,-34.53%,-17.04,-2.23
301678 CH Equity,HENGHUI TECHNO-A,17.02M,58.69,8.99,51.87,16.52%,Information Technology,14.62B,1.70%,14.65%,0.20%,23.67%,-22.43,--
