Ticker,Short Name,Avg D Val Traded 5D:D-5,P/E,P/B,P/FCF,ROE LF,GICS Sector,Market Cap,Earnings Yield,ROIC LF,Debt/Equity LF,Dil EPS Frm Cont Op 1Y Gr LF,Current 6 Month Total Return (BLOOMBERG L.P.),Tot Ret 1Y Net
000100 CH Equity,TCL TECHNOLOGY-A,184.72M,18.54,1.45,3.13,7.88%,Information Technology,89.24B,5.39%,0.56%,128.23%,85.80%,-1.61,0.38
300251 CH Equity,BEIJING ENLIGH-A,182.61M,21.76,4.4,30.44,22.05%,Communication Services,47.32B,4.60%,20.78%,0.55%,312.96%,-5.67,-3.99
941 HK Equity,CHINA MOBILE-H,182.51M,11.13,1.09,12.43,9.72%,Communication Services,1.77T,8.99%,7.97%,8.26%,41.25%,-4.83,5.76
600186 CH Equity,LOTUS HOLDINGS C,181.87M,44.87,7.03,21.1,16.03%,Consumer Staples,13.39B,2.23%,12.21%,54.12%,42.97%,30.59,0.3
601211 CH Equity,GUOTAI HAITONG S,181.13M,8.1,0.9,--,11.51%,Financials,274.13B,12.35%,1.90%,280.98%,-30.34%,-12.56,0.92
688766 CH Equity,PUYA SEMICONDU-A,179.07M,170.63,14.87,--,8.95%,Information Technology,35.94B,0.59%,6.40%,4.13%,155.58%,122.74,188.99
002400 CH Equity,GUANGDONG ADV -A,178.69M,166.37,2.99,--,1.81%,Communication Services,14.96B,0.60%,1.66%,66.12%,8.03%,1.66,1.76
601601 CH Equity,CHINA PACIFIC-A,178.21M,6.89,1.22,61.5,18.03%,Financials,343.64B,14.52%,10.20%,72.81%,18.29%,9.21,9.33
603308 CH Equity,ANHUI YINGLIU -A,177.43M,130.85,9.18,--,7.32%,Industrials,46.65B,0.76%,3.99%,121.24%,40.68%,104.04,54.49
601669 CH Equity,POWER CONSTRUC-A,176.65M,10.32,0.68,--,6.86%,Industrials,98.02B,9.69%,2.52%,214.20%,67.04%,-1.9,1
688111 CH Equity,BEIJING KINGSO-A,176.14M,58.72,8.4,43.27,15.17%,Information Technology,108.05B,1.70%,11.18%,0.29%,11.24%,-21.48,-65.08
300773 CH Equity,LAKALA PAYMENT-A,173.96M,103.6,5.24,46.1,4.97%,Financials,18.54B,0.97%,4.48%,18.07%,-9.04%,-0.53,8.14
603306 CH Equity,HMT XIAMEN NEW-A,172.85M,120.12,9.51,--,7.21%,Consumer Discretionary,31.98B,0.83%,5.50%,45.70%,-46.54%,88.25,71.68
300408 CH Equity,CHAOZHOU THREE-A,172.59M,42.74,5.17,43.68,12.61%,Information Technology,112.27B,2.34%,10.96%,7.87%,16.16%,26.47,25.44
300065 CH Equity,BEIJING HIGHLA-A,172.46M,460.1,9.91,--,2.18%,Information Technology,17.43B,0.22%,2.46%,2.46%,-49.41%,23.53,10.68
688146 CH Equity,PERIC SPECIAL GA,172.29M,97.16,5.37,--,5.67%,Materials,30.45B,1.03%,4.52%,9.59%,19.30%,33.96,33.11
002176 CH Equity,JIANGXI SPECIA-A,171.05M,--,5.27,--,-9.82%,Industrials,17.90B,-1.96%,-7.77%,55.12%,-34.10%,5.32,3.89
688519 CH Equity,NANYA NEW MATE-A,170.81M,131.77,10.95,--,9.06%,Information Technology,31.50B,0.76%,6.97%,40.59%,6.59k%,70.69,107.97
601336 CH Equity,NEW CHINA LIFE-A,169.59M,3.53,1.15,0.83,34.92%,Financials,170.02B,28.30%,11.35%,200.92%,-66.01%,-1.52,16.42
600654 CH Equity,CHINA SECURITY-A,169.38M,61.61,7.45,144.84,12.31%,Information Technology,12.89B,1.62%,-123.60%,16.40%,86.32%,37.42,1.2
300124 CH Equity,SHENZHEN INOVA-A,167.42M,34.13,5.2,41.4,17.04%,Industrials,178.79B,2.93%,11.09%,36.36%,7.73%,-21.69,3.82
3993 HK Equity,CMOC-H,167.40M,17.32,4.18,30.08,26.61%,Materials,455.56B,5.77%,17.71%,31.68%,24.20%,12.48,13.9
600690 CH Equity,HAIER SMART H-A,166.88M,9.93,1.64,12.68,16.97%,Consumer Discretionary,185.32B,10.07%,10.04%,52.78%,-47.40%,-18.32,-3.62
600641 CH Equity,SHANGHAI VITAL M,165.77M,121.54,2.35,--,-1.55%,Real Estate,19.60B,0.82%,0.34%,30.17%,69.75%,-1.4,7.65
600426 CH Equity,SHANDONG HUALU-A,165.67M,24.8,2.49,453.84,10.35%,Materials,82.27B,4.03%,8.66%,31.96%,12.89%,44.86,17.69
2382 HK Equity,SUNNY OPTICAL,165.29M,12.61,2.02,23.34,17.21%,Information Technology,66.52B,7.93%,11.40%,45.61%,89.90%,-27.13,1.19
688372 CH Equity,SHANGHAI V-TES-A,164.10M,84.24,7.97,--,9.96%,Information Technology,25.60B,1.19%,6.45%,115.73%,96.35%,85.24,94.87
600056 CH Equity,CHINA MEHECO C-A,164.04M,29.8,1.37,27.8,4.37%,Health Care,16.19B,3.36%,3.47%,55.15%,172.06%,-4.25,1.01
2269 HK Equity,WUXI BIOLOGICS C,162.65M,25.45,2.71,79.7,11.02%,Health Care,147.05B,3.93%,10.40%,5.85%,30.32%,-6.13,16.84
000975 CH Equity,SHANJIN INTERN-A,162.61M,29.21,5.82,25.36,21.30%,Materials,86.83B,3.42%,17.90%,13.36%,34.63%,32.95,11.66
601688 CH Equity,HUATAI SECURIT-A,161.88M,10.79,0.93,5.02,9.25%,Financials,154.28B,9.27%,2.18%,235.74%,36.14%,-22.19,3.65
600667 CH Equity,WUXI TAIJI IND-A,160.29M,34.09,2.33,28.4,6.92%,Information Technology,20.14B,2.93%,4.15%,61.07%,-15.41%,9.93,3.42
600867 CH Equity,TONGHUA DONGBA-A,160.24M,15.38,2.65,80.62,18.09%,Health Care,18.90B,6.50%,4.36%,11.01%,-14.12%,12.87,3.01
688106 CH Equity,JINHONG GAS CO-A,160.13M,100.95,4.23,--,4.26%,Materials,13.80B,0.99%,2.97%,99.32%,-27.90%,32.08,9.37
601698 CH Equity,CHINA SATELLIT-A,157.54M,311.56,8.6,574.21,2.78%,Communication Services,137.50B,0.32%,1.81%,0.50%,56.25%,53.54,13.21
300170 CH Equity,HAND ENTERPRIS-A,156.96M,99.59,3.73,105.37,3.77%,Information Technology,20.59B,1.00%,3.18%,8.30%,12.77%,10.39,4.07
300468 CH Equity,SHENZHEN FORMS-A,156.74M,214.98,9.7,64.81,4.52%,Information Technology,15.97B,0.47%,3.93%,0.30%,-48.58%,-20.18,12.77
000858 CH Equity,WULIANGYE YIBI-A,155.85M,14.01,2.79,13.34,20.39%,Consumer Staples,398.25B,7.14%,18.96%,0.84%,-65.26%,-13.03,-25.97
601117 CH Equity,CHINA NATIONAL-A,154.33M,8.57,0.82,--,9.94%,Industrials,55.33B,11.67%,7.06%,41.60%,49.18%,18.83,2.23
000833 CH Equity,GUANGXI YUEGUI-A,154.12M,39.79,4.85,--,12.81%,Consumer Staples,19.10B,2.51%,9.09%,36.91%,-11.02%,73.04,12.93
603220 CH Equity,CHINA BESTER G-A,153.28M,137.37,5.64,--,4.15%,Communication Services,14.48B,0.73%,3.72%,170.06%,-9.65%,8.83,3.83
600986 CH Equity,ZHEWEN INTERAT-A,152.72M,194.85,2.96,--,1.66%,Communication Services,15.48B,0.51%,1.41%,39.99%,-39.81%,32.27,2.91
601100 CH Equity,JIANGSU HENGLI-A,152.60M,48.41,7.96,92.95,17.46%,Industrials,135.69B,2.07%,15.13%,0.09%,-16.70%,3.34,28.55
688343 CH Equity,SHENZHEN INTEL-A,152.14M,--,7.69,134.23,-11.43%,Information Technology,30.01B,-1.52%,-9.80%,27.29%,25.73%,1.35,32.89
601126 CH Equity,BEIJING SIFANG-A,151.09M,44,7.45,35.27,17.51%,Industrials,36.48B,2.27%,11.81%,32.25%,-6.19%,94.4,29.2
603118 CH Equity,SHENZHEN GONGJ-A,149.32M,--,2.25,470.1,-0.15%,Information Technology,11.34B,-0.05%,0.79%,84.33%,-49.69%,8.67,5.26
601166 CH Equity,INDUSTRIAL BAN-A,148.48M,5.36,0.48,--,9.16%,Financials,393.63B,18.67%,2.69%,439.56%,-2.52%,-2.7,-0.78
300762 CH Equity,JUSHRI TECHNOL-A,148.44M,--,9.81,--,-3.41%,Information Technology,22.91B,-0.35%,-2.66%,44.52%,42.44%,49.69,16.6
600930 CH Equity,HUADIAN NEW EN-A,148.19M,24.58,2.56,--,10.90%,Utilities,251.54B,4.07%,3.70%,230.71%,-10.86%,-6.04,--
002929 CH Equity,RUNJIAN CO - A,148.18M,--,2.36,20.93,-0.59%,Industrials,15.24B,-0.25%,-0.08%,169.59%,-60.50%,13.76,4.7
301018 CH Equity,GUANGDONG SHEN-A,148.15M,227.72,10.46,--,4.70%,Industrials,27.75B,0.44%,3.58%,55.38%,77.45%,53.77,77.46
002600 CH Equity,LINGYI ITECH -A,145.51M,41.18,4.04,--,10.43%,Information Technology,97.12B,2.43%,6.98%,68.48%,-50.68%,-17.03,6.59
600331 CH Equity,SICHUAN HONGDA-A,144.81M,--,13.88,--,-4.20%,Materials,43.74B,-0.22%,-3.16%,0.00%,-5.80%,53.9,9.72
001203 CH Equity,DAZHONG MINING C,144.51M,84.41,8.68,--,10.31%,Materials,58.55B,1.18%,6.38%,118.74%,5.17%,194,31.47
2020 HK Equity,ANTA SPORTS,144.38M,14.72,3.06,10.9,21.31%,Consumer Discretionary,230.86B,6.79%,13.47%,43.87%,33.09%,-5.66,4.41
002498 CH Equity,QINGDAO HANHE-A,143.87M,46.99,2.99,--,6.54%,Industrials,25.72B,2.13%,3.62%,31.66%,-12.87%,106.13,4.58
002074 CH Equity,GOTION HIGH-A,143.56M,19.09,2.25,--,12.42%,Industrials,64.00B,5.24%,4.75%,174.74%,-30.46%,-20.52,19.28
688396 CH Equity,CHINA RESOURCE-A,143.55M,82.16,2.87,72.04,3.51%,Information Technology,65.79B,1.22%,3.91%,0.52%,-36.30%,-9.78,4.27
300568 CH Equity,SHENZHEN SENIO-A,143.30M,662.82,2.11,--,0.37%,Materials,20.74B,0.15%,1.39%,112.77%,-71.25%,8.6,6.88
301392 CH Equity,GUANGDONG HUIC-A,142.51M,676.53,19.83,214.45,2.91%,Industrials,14.38B,0.15%,3.23%,8.08%,-40.62%,-8.16,48.3
300077 CH Equity,NATIONS TECHNO-A,141.00M,--,14.16,--,-12.09%,Information Technology,14.12B,-0.90%,-2.00%,177.99%,42.87%,-7.88,-2.14
000408 CH Equity,ZANGGE MINING-A,140.90M,34.19,8.13,36.92,25.59%,Materials,132.02B,2.92%,9.57%,1.78%,42.85%,38.52,51.15
002840 CH Equity,ZHEJIANG HUATO-A,140.73M,99.18,2.59,--,2.91%,Consumer Staples,10.41B,1.01%,2.98%,118.47%,-6.73%,19.41,0.84
601985 CH Equity,CHINA NATIONAL-A,139.14M,22.85,1.55,--,7.43%,Utilities,178.94B,4.38%,3.29%,190.71%,-29.01%,-3.01,-0.38
300184 CH Equity,WUHAN P&S INFO-A,138.49M,86.62,3.25,--,3.95%,Information Technology,13.31B,1.15%,3.52%,29.35%,34.43%,1.58,2.5
000688 CH Equity,GUOCHENG MININ-A,137.56M,41.96,18.16,524.35,38.50%,Materials,47.24B,2.38%,16.21%,112.15%,285.00%,159.84,30.49
688097 CH Equity,BOZHON PRECISI-A,137.09M,58.99,5.98,42.24,10.53%,Industrials,28.37B,1.70%,4.73%,62.81%,-15.57%,83.77,39.29
002536 CH Equity,FEILONG AUTO-A,137.02M,60.86,5.52,--,9.28%,Consumer Discretionary,19.29B,1.64%,6.59%,44.10%,-65.71%,36.92,22.35
603667 CH Equity,ZHEJIANG XCC G-A,136.69M,273.92,8.3,--,3.10%,Industrials,24.76B,0.37%,3.03%,45.24%,4.30%,53.24,38.5
300821 CH Equity,SHANDONG DONGY-A,136.60M,--,3.27,82.51,-0.39%,Materials,16.12B,-0.12%,-0.29%,0.00%,-78.35%,45.03,6.25
688223 CH Equity,JINKO SOLAR CO-A,136.34M,--,2.26,60.5,-16.33%,Information Technology,66.13B,-7.85%,-5.74%,147.50%,-74.15%,13.98,0.58
688700 CH Equity,KUNSHAN DONGWE-A,135.95M,201.28,9.76,445.51,4.89%,Industrials,17.56B,0.50%,3.79%,11.04%,256.53%,57.54,26.7
000636 CH Equity,GUANGDONG FENG-A,134.76M,74.8,1.83,--,2.44%,Information Technology,22.83B,1.34%,1.43%,12.99%,11.77%,25.91,7.46
300131 CH Equity,SHENZHEN YITOA-A,134.43M,364.59,8.25,6.16k,2.28%,Information Technology,14.59B,0.27%,2.66%,45.76%,-23.81%,19.2,8.81
002947 CH Equity,SUZHOU HENGMIN-A,134.35M,31.51,5.37,26.71,16.95%,Information Technology,16.74B,3.17%,14.33%,18.76%,-15.06%,37.01,39.3
601677 CH Equity,HENAN MINGTAI -A,134.00M,12.42,1.15,17.02,9.70%,Materials,21.96B,8.05%,7.30%,27.83%,36.48%,20.56,6.08
601908 CH Equity,BEIJING JINGYU-A,133.63M,--,1.18,13.45,-12.56%,Information Technology,10.36B,-11.43%,-9.23%,28.84%,81.88%,2.14,1.69
300693 CH Equity,SHENZHEN SINEX-A,133.19M,31.65,7.67,26.42,23.89%,Industrials,15.12B,3.16%,18.28%,21.09%,28.38%,18.54,17.4
603288 CH Equity,FOSHAN HAITIAN-A,131.53M,33.21,5.82,36.31,19.49%,Consumer Staples,238.33B,3.01%,17.63%,0.68%,2.79%,5.61,0.6
300316 CH Equity,ZHEJIANG JINGS-A,130.82M,119.25,3.1,1.31k,2.61%,Information Technology,54.20B,0.84%,1.54%,13.71%,-72.68%,-2.68,14.07
002497 CH Equity,SICHUAN YAHUA-A,129.98M,61.47,2.48,--,4.10%,Materials,26.87B,1.63%,3.20%,10.11%,449.56%,53.46,13.51
000001 CH Equity,PING AN BANK-A,128.39M,4.98,0.48,--,9.91%,Financials,215.41B,20.10%,4.12%,300.80%,-15.82%,-0.88,0.78
300723 CH Equity,APICHOPE PHARMAC,127.65M,--,9.25,--,-21.85%,Health Care,16.19B,-2.65%,-11.46%,118.97%,-136.53%,-38.49,6.7
002183 CH Equity,ETERNAL ASIA -A,127.18M,177.88,1.61,--,0.88%,Industrials,14.88B,0.56%,1.10%,302.48%,28.42%,7.3,1
000425 CH Equity,XCMG CONSTRUCT-A,127.09M,18.77,2.08,34.31,11.19%,Industrials,124.54B,5.33%,5.93%,122.50%,42.72%,-5.27,2.29
603516 CH Equity,BEIJING TRICOL-A,126.76M,5.52k,21.64,1.96k,0.37%,Information Technology,30.13B,0.02%,-0.67%,3.10%,-21.45%,-7.93,112.3
601778 CH Equity,JINKO POWER TE-A,126.24M,39.49,1.13,20.05,2.89%,Utilities,18.15B,2.53%,2.35%,109.06%,8.49%,32.98,2.46
600550 CH Equity,BAODING TIANWE-A,125.96M,178.21,35.78,87.55,23.00%,Industrials,28.01B,0.56%,4.97%,326.56%,-73.98%,72.84,7.9
300747 CH Equity,WUHAN RAYCUS F-A,125.32M,132.79,5.4,29.3,4.12%,Information Technology,18.23B,0.75%,3.30%,21.04%,112.11%,22.12,13.73
601360 CH Equity,360 SECURITY T-A,123.53M,--,2.56,169.21,-2.13%,Information Technology,75.18B,-0.86%,-2.34%,5.93%,11.42%,-3.07,1.25
600104 CH Equity,SAIC MOTOR-A,122.86M,15.87,0.54,7.18,3.45%,Consumer Discretionary,161.16B,6.30%,1.37%,64.16%,275.52%,-18.16,-0.83
000651 CH Equity,GREE ELECTRIC-A,122.78M,6.61,1.45,3.5,23.40%,Consumer Discretionary,209.04B,15.13%,12.27%,72.29%,-6.76%,-5.3,-3.86
688717 CH Equity,SOLAX POWER NE-A,122.66M,90.82,3.87,--,4.27%,Industrials,17.61B,1.10%,1.21%,19.87%,-88.48%,49,71.7
601877 CH Equity,ZHEJIANG CHINT-A,119.23M,15.34,1.59,3.46,10.66%,Industrials,70.38B,6.52%,7.26%,101.54%,5.12%,5.71,12.86
002422 CH Equity,SICHUAN KELUN-A,119.07M,31.92,2.25,49.62,7.29%,Health Care,54.54B,3.13%,5.67%,14.84%,-16.18%,-3.25,0.03
688390 CH Equity,GOODWE TECHNOL-A,118.97M,2.05k,7.35,--,0.38%,Industrials,19.98B,0.05%,-0.51%,82.34%,32.79%,34.79,41.7
601668 CH Equity,CHINA STATE -A,118.44M,4.62,0.43,--,9.58%,Industrials,204.95B,21.64%,4.22%,110.60%,8.19%,-11.59,-0.19
992 HK Equity,LENOVO GROUP,117.40M,10.45,2.21,8.84,23.42%,Information Technology,122.56B,9.57%,16.90%,106.82%,-20.83%,-18.58,2.48
300296 CH Equity,LEYARD OPTOELE-A,117.36M,--,2.54,27.03,-9.69%,Information Technology,20.53B,-4.13%,-7.98%,20.33%,102.20%,2.85,1.96
002897 CH Equity,WENZHOU YIHUA-A,117.09M,77.48,4.72,--,6.13%,Information Technology,12.96B,1.29%,4.22%,86.36%,70.80%,39.85,31.02
002415 CH Equity,HANGZHOU HIKVI-A,116.48M,21.46,3.6,24.35,16.99%,Information Technology,281.91B,4.66%,14.73%,8.60%,16.83%,-9.29,4.05
600160 CH Equity,ZHEJIANG JUHUA-A,115.79M,23.71,4.58,42.89,21.07%,Materials,93.68B,4.22%,16.28%,28.09%,187.26%,-14.13,11.47
1093 HK Equity,CSPC PHARMACEUTI,115.38M,23.38,2.65,25.98,11.86%,Health Care,104.97B,4.28%,10.79%,1.86%,23.66%,-2.88,4.37
300035 CH Equity,HUNAN ZHONGKE-A,115.26M,29.44,3.13,--,11.02%,Industrials,15.35B,3.40%,8.28%,80.11%,21.12%,-2.44,8.9
002049 CH Equity,UNIGROUP GUOXI-A,115.18M,40.25,4.33,131.61,11.24%,Information Technology,58.18B,2.48%,9.84%,16.39%,193.92%,-20.59,0.3
688536 CH Equity,3PEAK INC-A,114.84M,141.59,4.05,1.35k,3.00%,Information Technology,25.45B,0.71%,2.22%,1.05%,-75.12%,14.49,62.79
603893 CH Equity,ROCKCHIP ELEC-A,114.63M,65.84,15.93,--,26.88%,Information Technology,67.51B,1.52%,24.64%,4.53%,44.31%,-22.01,27.11
1088 HK Equity,CHINA SHENHUA-H,113.87M,14.54,1.91,27.31,12.98%,Energy,1.14T,6.88%,11.01%,8.04%,10.12%,18.02,19.43
688141 CH Equity,JOULWATT TECHN-A,113.38M,--,18.67,--,-39.92%,Information Technology,28.47B,-2.52%,-18.89%,126.84%,-164.58%,12.91,36.19
002352 CH Equity,S F HOLDING CO-A,112.93M,16.83,1.89,10.42,11.62%,Industrials,187.54B,5.94%,7.23%,41.59%,5.59%,-8.84,-4.17
002484 CH Equity,NANTONG JIANGH-A,112.85M,38.7,4.15,--,11.13%,Information Technology,26.27B,2.58%,9.75%,16.25%,-19.61%,0.16,12.67
688123 CH Equity,GIANTEC SEMICO-A,112.60M,48.21,6.69,--,15.06%,Information Technology,17.55B,2.07%,13.61%,0.28%,-40.30%,-21.12,46.18
601225 CH Equity,SHAANXI COAL I-A,112.06M,12.81,2.59,11.41,20.20%,Energy,244.99B,7.81%,17.86%,16.35%,-18.02%,22.25,7.37
000603 CH Equity,SHENGDA RESOUR-A,112.01M,44.01,8.62,--,15.66%,Materials,28.36B,2.27%,9.16%,49.86%,-21.50%,50.83,27.55
600415 CH Equity,COMMODITIES CI-A,111.92M,16.84,3.1,10.9,19.35%,Consumer Discretionary,71.23B,5.94%,14.13%,15.22%,-25.06%,-28.31,-0.91
605376 CH Equity,JIANGSU BOQIAN-A,111.80M,180.33,16.77,202.28,9.69%,Materials,27.63B,0.55%,9.37%,9.66%,60.54%,79.61,74.59
600151 CH Equity,SHANGHAI AEROS-A,111.45M,--,4.51,--,-9.58%,Consumer Discretionary,19.98B,-2.23%,--,23.47%,-525.11%,72.61,7.53
600502 CH Equity,ANHUI CONST-A,110.94M,6.21,0.78,--,13.24%,Industrials,9.48B,16.11%,2.99%,284.33%,99.48%,20.71,1.32
600887 CH Equity,INNER MONG YIL-A,110.92M,20.59,2.93,12.33,14.24%,Consumer Staples,165.22B,4.86%,6.58%,91.25%,6.58%,-4.31,-1.95
601606 CH Equity,ANHUI GREAT WA-A,110.90M,--,12.99,273.5,-12.88%,Industrials,28.74B,-1.05%,-10.53%,30.15%,-71.21%,-15.91,27.27
002364 CH Equity,HANGZHOU ZHONG-A,110.43M,182.74,7.44,92.82,4.03%,Industrials,17.99B,0.55%,3.43%,23.20%,72.76%,19.54,22.25
605499 CH Equity,EASTROC BEVERA-A,110.27M,23.74,11.13,25.68,51.61%,Consumer Staples,112.84B,4.21%,27.32%,74.87%,4.26%,-35.32,-53.25
16 HK Equity,SHK PPT,109.58M,18.19,0.64,11.18,3.59%,Real Estate,400.47B,5.50%,2.82%,16.60%,13.57%,47.99,75.31
300850 CH Equity,LUOYANG XINQIA-A,108.91M,19.04,2.42,--,13.51%,Industrials,16.94B,5.25%,8.39%,52.76%,48.49%,-9.89,16.73
001287 CH Equity,SHENZHEN CECPO=A,108.82M,56.21,3.61,--,6.60%,Information Technology,19.44B,1.78%,3.70%,334.98%,45.09%,8.11,8.28
000927 CH Equity,CHINA RAILWAY-A,108.31M,31.83,1.88,77.87,6.04%,Industrials,18.33B,3.14%,3.18%,54.36%,23.07k%,13.06,0.64
600016 CH Equity,CHINA MINSHENG-A,107.97M,5.91,0.29,--,4.82%,Financials,157.62B,16.92%,2.37%,368.83%,68.80%,-6.33,-0.01
002531 CH Equity,TITAN WIND-A,107.79M,--,2.35,--,-2.68%,Industrials,20.32B,-1.16%,0.57%,137.68%,-22.07%,33.53,4.78
300398 CH Equity,PHICHEM CORP -A,107.39M,44.3,3.14,200.81,7.45%,Materials,15.46B,2.26%,5.55%,21.10%,1.91%,8.06,8.59
603063 CH Equity,SHENZHEN HOPEW-A,106.29M,27.85,2.9,42.7,11.23%,Industrials,15.03B,3.59%,7.86%,42.39%,49.13%,-7.27,4.24
600338 CH Equity,XIZANG ZHUFENG-A,105.88M,36,3.69,38.13,11.11%,Materials,16.09B,2.78%,7.57%,3.02%,48.97%,28.19,8.74
688127 CH Equity,ZHEJIANG LANTE-A,105.51M,70.15,12.49,273.77,19.39%,Information Technology,27.34B,1.43%,17.37%,9.44%,114.19%,102.07,48.03
000990 CH Equity,CHENGZHI CO-A,105.14M,115.9,0.75,65.03,0.65%,Materials,13.42B,0.86%,1.64%,35.13%,224.65%,48.59,3.6
600346 CH Equity,HENGLI PETROC-A,104.92M,23.72,2.55,22.92,11.05%,Materials,164.93B,4.22%,4.40%,260.38%,88.33%,32.9,8.76
000776 CH Equity,GF SECURITIES-A,104.57M,10.84,1.07,--,10.17%,Financials,132.15B,9.23%,2.43%,308.82%,57.24%,-24.24,3.91
603876 CH Equity,JIANGSU DINGSH-A,104.23M,55.84,3.01,--,5.53%,Materials,22.03B,1.79%,2.27%,205.75%,188.27%,109.82,16.53
300182 CH Equity,BEIJING JETSEN-A,103.58M,174.66,1.86,--,1.06%,Communication Services,15.61B,0.57%,0.60%,11.06%,-96.54%,-5.02,0.84
688400 CH Equity,LUSTER LIGHTTE-A,103.39M,167.92,5.26,--,3.19%,Information Technology,22.06B,0.60%,1.07%,21.37%,74.79%,5.23,22.59
688063 CH Equity,PYLON TECHNOLO-A,102.80M,195.19,1.79,64.29,0.92%,Industrials,16.93B,0.51%,0.17%,16.23%,573.31%,0.48,35.97
OCBC SP Equity,OCBC BANK,102.49M,13.6,1.6,--,12.05%,Financials,99.51B,7.36%,6.41%,72.39%,-4.39%,31.46,8.39
301293 CH Equity,SANBO HOSPITAL-A,102.45M,161.7,5.84,--,3.63%,Health Care,13.84B,0.62%,2.69%,19.28%,-38.06%,11.07,24.5
000422 CH Equity,HUBEI YIHUA CH-A,102.02M,24.21,2.95,--,10.61%,Materials,17.40B,4.13%,4.33%,187.39%,-47.55%,5.82,4.41
386 HK Equity,SINOPEC CORP-H,101.37M,15.06,0.59,14.04,3.95%,Energy,760.80B,6.64%,2.50%,53.81%,64.31%,12.65,1.1
688506 CH Equity,SICHUAN BIOKIN-A,101.09M,--,17.75,--,-14.94%,Health Care,129.91B,-0.70%,-12.70%,53.71%,-80.06%,-14.22,62.65
002459 CH Equity,JA SOLAR TECHN-A,100.98M,--,1.49,11.38,-28.14%,Information Technology,35.02B,-22.30%,-9.44%,221.89%,-99.79%,-19.05,0.53
600438 CH Equity,TONGWEI CO-A,100.58M,--,1.61,--,-17.51%,Information Technology,72.12B,-11.70%,-4.83%,186.22%,56.95%,-26.48,-1.18
301550 CH Equity,ZHEJIANG SLING-A,100.55M,203.23,21.35,265.64,10.93%,Consumer Discretionary,39.17B,0.49%,7.97%,10.28%,-6.20%,93.14,127.35
001337 CH Equity,SICHUAN GO-A,100.50M,45.72,11.66,--,28.34%,Materials,21.33B,2.19%,24.46%,27.40%,90.17%,68.63,25.99
6181 HK Equity,LAOPU GOLD CO -H,99.71M,19.87,8.97,--,64.84%,Consumer Discretionary,114.09B,5.03%,41.85%,59.17%,182.04%,-6.55,-54.3
600919 CH Equity,BANK OF JIANGS-A,98.24M,5.94,0.78,--,13.71%,Financials,198.38B,16.85%,3.14%,522.79%,8.69%,10.31,1.85
603005 CH Equity,CHINA WAFER LE-A,98.22M,49.18,3.94,--,8.32%,Information Technology,18.19B,2.03%,8.00%,4.04%,21.73%,-12.1,1.51
301377 CH Equity,GUANGDONG DTEC-A,98.19M,194.18,31.88,--,16.92%,Industrials,84.44B,0.51%,13.44%,33.70%,181.82%,201.91,194.55
300775 CH Equity,XI'AN TRIANGLE-A,97.77M,38.27,3.36,--,9.11%,Industrials,20.22B,2.61%,6.22%,22.35%,578.35%,48.27,13.51
600795 CH Equity,GD POWER DEVEL-A,97.57M,11.7,1.42,28.86,12.50%,Utilities,86.86B,8.55%,4.03%,211.66%,57.28%,-4.04,0.55
300498 CH Equity,WENS FOODSTUFF-A,97.35M,13.6,2.52,24.29,19.43%,Consumer Staples,110.39B,7.35%,13.30%,45.96%,-67.33%,-10.49,-0.74
301626 CH Equity,SUZHOU TIANMAI-A,97.15M,151.52,20.02,--,15.35%,Information Technology,30.54B,0.66%,14.15%,0.35%,-27.17%,106.25,211
000767 CH Equity,JINNENG HOLDIN-A,97.06M,26.58,8.55,--,11.83%,Utilities,11.11B,3.76%,2.46%,377.59%,0.37%,23.63,0.98
300657 CH Equity,XIAMEN HONGXIN-A,96.45M,147.8,11.45,--,7.17%,Information Technology,14.39B,0.68%,6.00%,160.33%,106.76%,-8.94,1.41
000420 CH Equity,JILIN CHEM FIB-A,96.38M,--,2.79,--,-0.04%,Materials,12.34B,--,1.92%,131.47%,-47.72%,16.74,1.56
002625 CH Equity,KUANG-CHI TECH-A,96.36M,113.84,8.6,--,7.86%,Industrials,82.18B,0.88%,6.59%,2.83%,25.14%,-22.16,0.25
600809 CH Equity,SHANXI XINGHUA-A,96.20M,13.82,4.38,12.94,33.86%,Consumer Staples,169.95B,7.24%,32.13%,2.80%,-1.84%,-26.17,-80.54
600744 CH Equity,DATANG HUAYIN-A,96.15M,68.35,10.36,--,15.85%,Utilities,14.75B,1.46%,1.73%,1008.87%,419.15%,6.45,3.69
1177 HK Equity,SBP GROUP,96.14M,39.93,3.18,10.31,7.48%,Health Care,111.81B,2.50%,6.62%,38.18%,47.00%,-23.59,2.55
002493 CH Equity,RONGSHENG PETR-A,96.08M,167.67,2.77,--,1.68%,Materials,126.37B,0.60%,2.57%,222.90%,59.85%,24.88,4.4
002408 CH Equity,ZIBO QIXIANG-A,95.86M,--,1.69,--,-5.05%,Materials,19.62B,-2.80%,-0.59%,94.68%,-140.05%,37.72,2.66
000157 CH Equity,ZOOMLION HEAVY-A,95.51M,14.61,1.19,--,8.25%,Industrials,74.49B,6.85%,4.79%,71.89%,162.11%,12.06,1.92
300347 CH Equity,HANGZHOU TIGER-A,94.89M,53.97,2.28,32.85,4.27%,Health Care,45.63B,1.85%,1.90%,6.93%,-3.08%,0.32,13.43
